Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~phDoserController.PrjPcb|ReportField=ProjectFullPath~C:\Users\PCHOT\Desktop\pHDoserController\phDoserController.PrjPcb|ReportField=Title~Bill of Materials For Project [phDoserController.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~28|ReportField=ReportTime~8:23:12 AM|ReportField=ReportDate~2/21/2015|ReportField=ReportDateTime~2/21/2015 8:23:12 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/21/2015|ReportField=CurrentTime~8:21:53 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\PCHOT\Desktop\pHDoserController\DoserController.SchDoc|ReportField=DocumentName~DoserController.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/28/2015|ReportField=Organization~|ReportField=ProjectName~phDoserController.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~phDoserController.PrjPcb|ReportField=DataSourceFullPath~C:\Users\PCHOT\Desktop\pHDoserController\phDoserController.PrjPcb
C1, C4, C7, C8|CAPC3216L|Cap2|4|10uF, 100uF
C2, C3, C5, C6|RESC2012L|Cap Semi|4|0.1uF, 1uF, 2.2nF
C9, C10, C11|RESC2012L|Cap|3|0.1uF
D1|DSO-C2/D5.6|LED2|1|
P1|BNC_RA CON|BNC|1|
P2|HDR1X5|Header 5|1|
P3, P4|HDR1X4|Header 4|2|
R1, R2, R3, R4, R5, R6, R8|RESC2012L|Res1|7|1K, 2.2K, 10K, 30K, 75K, 300
R7|R25_turn_Top|R25_turn|1|
R9|RESC2012L|Res Semi|1|10K
U1|DIP8|TL072ACN|1|
U2|DIP8|ICL7660S|1|
U3|SOIC-SO28_N|DSPIC30F2020-30I/SO|1|
